y.re:-0.565515,y.im:0.937752i
y.re:-0.564755,y.im:0.930824i
y.re:-0.564010,y.im:0.923976i
y.re:-0.563278,y.im:0.917205i
y.re:-0.562560,y.im:0.910511i
y.re:-0.561855,y.im:0.903893i
y.re:-0.561163,y.im:0.897348i
y.re:-0.560483,y.im:0.890875i
y.re:-0.559816,y.im:0.884474i
y.re:-0.559161,y.im:0.878142i
y.re:-0.558517,y.im:0.871879i
y.re:-0.557885,y.im:0.865683i
y.re:-0.557264,y.im:0.859554i
y.re:-0.556653,y.im:0.853489i
y.re:-0.556054,y.im:0.847488i
y.re:-0.555465,y.im:0.841550i
y.re:-0.554885,y.im:0.835673i
y.re:-0.554316,y.im:0.829857i
y.re:-0.553757,y.im:0.824100i
y.re:-0.553207,y.im:0.818402i
y.re:-0.552666,y.im:0.812761i
y.re:-0.552134,y.im:0.807177i
y.re:-0.551611,y.im:0.801648i
y.re:-0.551097,y.im:0.796174i
y.re:-0.550592,y.im:0.790754i
y.re:-0.550094,y.im:0.785386i
y.re:-0.549605,y.im:0.780071i
y.re:-0.549124,y.im:0.774806i
y.re:-0.548650,y.im:0.769592i
y.re:-0.548184,y.im:0.764427i
y.re:-0.547726,y.im:0.759311i
y.re:-0.547275,y.im:0.754242i
y.re:-0.546830,y.im:0.749221i
y.re:-0.546393,y.im:0.744246i
y.re:-0.545963,y.im:0.739317i
y.re:-0.545540,y.im:0.734432i
y.re:-0.545123,y.im:0.729592i
y.re:-0.544712,y.im:0.724795i
y.re:-0.544308,y.im:0.720041i
y.re:-0.543910,y.im:0.715330i
y.re:-0.543518,y.im:0.710659i
y.re:-0.543132,y.im:0.706030i
y.re:-0.542752,y.im:0.701441i
y.re:-0.542378,y.im:0.696891i
y.re:-0.542009,y.im:0.692381i
y.re:-0.541646,y.im:0.687909i
y.re:-0.541288,y.im:0.683475i
y.re:-0.540935,y.im:0.679078i
y.re:-0.540588,y.im:0.674718i
y.re:-0.540245,y.im:0.670394i
y.re:-0.539908,y.im:0.666106i
y.re:-0.539575,y.im:0.661853i
y.re:-0.539248,y.im:0.657634i
y.re:-0.538925,y.im:0.653450i
y.re:-0.538606,y.im:0.649300i
y.re:-0.538292,y.im:0.645182i
y.re:-0.537983,y.im:0.641098i
y.re:-0.537678,y.im:0.637045i
y.re:-0.537377,y.im:0.633025i
y.re:-0.537081,y.im:0.629035i
y.re:-0.536788,y.im:0.625077i
y.re:-0.536500,y.im:0.621149i
y.re:-0.536216,y.im:0.617251i
y.re:-0.535935,y.im:0.613383i
y.re:-0.535659,y.im:0.609544i
y.re:-0.535386,y.im:0.605734i
y.re:-0.535117,y.im:0.601952i
y.re:-0.534852,y.im:0.598198i
y.re:-0.534590,y.im:0.594472i
y.re:-0.534331,y.im:0.590773i
y.re:-0.534077,y.im:0.587101i
y.re:-0.533825,y.im:0.583455i
y.re:-0.533577,y.im:0.579836i
y.re:-0.533332,y.im:0.576243i
y.re:-0.533091,y.im:0.572675i
y.re:-0.532852,y.im:0.569132i
y.re:-0.532617,y.im:0.565614i
y.re:-0.532385,y.im:0.562120i
y.re:-0.532156,y.im:0.558651i
y.re:-0.531930,y.im:0.555205i
y.re:-0.531706,y.im:0.551784i
y.re:-0.531486,y.im:0.548385i
y.re:-0.531268,y.im:0.545009i
y.re:-0.531054,y.im:0.541656i
y.re:-0.530842,y.im:0.538325i
y.re:-0.530632,y.im:0.535016i
y.re:-0.530425,y.im:0.531730i
y.re:-0.530221,y.im:0.528464i
y.re:-0.530020,y.im:0.525220i
y.re:-0.529821,y.im:0.521997i
y.re:-0.529624,y.im:0.518794i
y.re:-0.529430,y.im:0.515612i
y.re:-0.529239,y.im:0.512450i
y.re:-0.529049,y.im:0.509309i
y.re:-0.528862,y.im:0.506186i
y.re:-0.528678,y.im:0.503084i
y.re:-0.528495,y.im:0.500000i
y.re:-0.528315,y.im:0.496935i
y.re:-0.528137,y.im:0.493890i
y.re:-0.527962,y.im:0.490862i
y.re:-0.527788,y.im:0.487853i
y.re:-0.527616,y.im:0.484862i
y.re:-0.527447,y.im:0.481889i
y.re:-0.527279,y.im:0.478934i
y.re:-0.527114,y.im:0.475996i
y.re:-0.526950,y.im:0.473075i
y.re:-0.526789,y.im:0.470171i
y.re:-0.526629,y.im:0.467284i
y.re:-0.526472,y.im:0.464413i
y.re:-0.526316,y.im:0.461559i
y.re:-0.526162,y.im:0.458721i
y.re:-0.526009,y.im:0.455900i
y.re:-0.525859,y.im:0.453094i
y.re:-0.525710,y.im:0.450303i
y.re:-0.525563,y.im:0.447528i
y.re:-0.525418,y.im:0.444769i
y.re:-0.525274,y.im:0.442024i
y.re:-0.525133,y.im:0.439295i
y.re:-0.524992,y.im:0.436580i
y.re:-0.524854,y.im:0.433880i
y.re:-0.524717,y.im:0.431194i
y.re:-0.524581,y.im:0.428522i
y.re:-0.524447,y.im:0.425865i
y.re:-0.524315,y.im:0.423221i
y.re:-0.524184,y.im:0.420592i
y.re:-0.524054,y.im:0.417975i
y.re:-0.523926,y.im:0.415373i
y.re:-0.523800,y.im:0.412783i
y.re:-0.523675,y.im:0.410207i
y.re:-0.523551,y.im:0.407644i
y.re:-0.523429,y.im:0.405093i
y.re:-0.523308,y.im:0.402556i
y.re:-0.523188,y.im:0.400031i
y.re:-0.523070,y.im:0.397518i
y.re:-0.522953,y.im:0.395018i
y.re:-0.522837,y.im:0.392529i
y.re:-0.522723,y.im:0.390053i
y.re:-0.522610,y.im:0.387589i
y.re:-0.522498,y.im:0.385136i
y.re:-0.522388,y.im:0.382695i
y.re:-0.522278,y.im:0.380266i
y.re:-0.522170,y.im:0.377848i
y.re:-0.522063,y.im:0.375441i
y.re:-0.521957,y.im:0.373045i
y.re:-0.521853,y.im:0.370660i
y.re:-0.521749,y.im:0.368287i
y.re:-0.521647,y.im:0.365923i
y.re:-0.521545,y.im:0.363571i
y.re:-0.521445,y.im:0.361229i
y.re:-0.521346,y.im:0.358898i
y.re:-0.521248,y.im:0.356576i
y.re:-0.521151,y.im:0.354265i
y.re:-0.521055,y.im:0.351964i
y.re:-0.520960,y.im:0.349673i
y.re:-0.520866,y.im:0.347392i
y.re:-0.520774,y.im:0.345121i
y.re:-0.520682,y.im:0.342859i
y.re:-0.520591,y.im:0.340607i
y.re:-0.520501,y.im:0.338364i
y.re:-0.520412,y.im:0.336131i
y.re:-0.520324,y.im:0.333907i
y.re:-0.520237,y.im:0.331692i
y.re:-0.520151,y.im:0.329486i
y.re:-0.520066,y.im:0.327289i
y.re:-0.519982,y.im:0.325100i
y.re:-0.519898,y.im:0.322921i
y.re:-0.519816,y.im:0.320750i
y.re:-0.519734,y.im:0.318588i
y.re:-0.519653,y.im:0.316434i
y.re:-0.519573,y.im:0.314289i
y.re:-0.519494,y.im:0.312152i
y.re:-0.519416,y.im:0.310023i
y.re:-0.519339,y.im:0.307902i
y.re:-0.519262,y.im:0.305789i
y.re:-0.519187,y.im:0.303685i
y.re:-0.519112,y.im:0.301588i
y.re:-0.519038,y.im:0.299499i
y.re:-0.518964,y.im:0.297417i
y.re:-0.518892,y.im:0.295344i
